ProdID,Vid,ProdCat,ProdPrice
3948,1,2,25
4060,1,2,13
4145,1,3,23
3952,1,3,40
4061,1,3,25
3945,1,3,25
3696,1,3,25
4213,1,3,30
4057,1,3,23
4210,1,3,25
4090,1,3,27
4050,1,3,33
4051,1,3,33
3956,1,3,33
4072,1,3,25
4025,1,3,25
4194,1,3,25
4128,1,3,27
3381,1,5,17
4092,1,5,20
4041,1,5,17
4073,1,5,20
3893,1,5,15
4189,1,5,15
4033,1,5,17
4122,1,5,20
4011,1,5,20
4112,1,5,17
4108,1,5,13
4004,1,5,17
4077,1,5,20
4021,1,5,20
4133,1,5,17
4010,1,5,15
3946,1,5,20
3924,1,5,17
4053,1,5,20
4125,1,5,20
4179,1,5,20
4083,1,5,17
4047,1,5,17
3935,1,5,20
3992,1,5,20
4114,1,5,23
4087,1,5,15
4020,1,5,17
4002,1,5,13
4109,1,5,20
3997,1,5,25
4229,1,5,15
4127,1,5,20
4135,1,5,20
3950,1,5,17
3890,1,5,15
4018,1,5,20
3939,1,5,17
3930,1,5,20
4064,1,5,17
3678,0,2,25
4006,0,2,15
4152,0,2,13
2461,0,2,30
4058,0,2,20
3960,0,2,20
3998,0,2,17
3880,0,2,13
3659,0,2,25
2716,0,2,30
3618,0,2,15
3619,0,2,20
3479,0,2,15
3895,0,3,27
4100,0,3,20
4191,0,3,25
3940,0,3,25
4035,0,3,25
4219,0,3,25
4209,0,3,25
4034,0,3,27
4120,0,3,25
3927,0,3,23
4208,0,3,25
3959,0,3,20
4055,0,3,25
4245,0,3,20
3269,0,3,20
4103,0,3,25
4085,0,3,25
3936,0,3,23
3915,0,3,27
3771,0,3,25
3749,0,3,25
3906,0,3,23
2700,0,3,25
4206,0,3,25
3677,0,3,35
4218,0,3,25
3894,0,3,20
3292,0,3,25
3909,0,3,30
4105,0,3,25
3928,0,3,25
3897,0,3,27
3730,0,3,25
4182,0,3,23
3907,0,3,17
4232,0,3,25
3995,0,3,30
3955,0,3,30
3962,0,3,35
3917,0,3,23
4008,0,3,25
3902,0,3,27
3911,0,3,17
3918,0,3,23
4107,0,3,23
3253,0,3,27
3937,0,3,27
4233,0,3,25
4207,0,3,26
4076,0,3,25
4052,0,3,27
4046,0,3,25
3745,0,3,25
3938,0,3,25
4106,0,3,25
3743,0,3,25
3912,0,3,17
2532,0,3,20
3905,0,3,20
4129,0,3,27
4216,0,3,20
4080,0,3,27
4212,0,3,25
4157,0,3,24.9
4211,0,3,26
4205,0,3,25
3701,0,3,20
4246,0,3,25
3251,0,3,20
4075,0,3,27
4131,0,3,35
3413,0,3,23
3942,0,5,25
4067,0,5,20
4195,0,5,15
4118,0,5,17
4235,0,5,17
3864,0,5,15
4098,0,5,17
3808,0,5,20
3931,0,5,25
4251,0,5,20
3759,0,5,20
3728,0,5,20
3723,0,5,17
3966,0,5,20
4074,0,5,17
4101,0,5,20
4036,0,5,20
4030,0,5,20
4056,0,5,17
4065,0,5,15
4059,0,5,20
4079,0,5,17
4093,0,5,20
4158,0,5,17
3889,0,5,25
4238,0,5,17
4095,0,5,20
4180,0,5,13
4031,0,5,20
3261,0,5,10
3408,0,5,17
4217,0,5,20
4121,0,5,20
4026,0,5,17
4005,0,5,20
3908,0,5,15
3164,0,5,17
4078,0,5,17
2413,0,5,25
3888,0,5,20
4089,0,5,15
3747,0,5,20
3741,0,5,17
4250,0,5,20
3765,0,5,20
3990,0,5,13
3891,0,5,20
4007,0,5,20
4202,0,5,27
4141,0,5,26
4249,0,5,20
3788,0,5,20
3987,0,5,13
4240,0,5,20
4226,0,5,20
4027,0,5,20
4214,0,5,20
3887,0,5,15
4241,0,5,15
2637,0,5,15
3753,0,5,17
4190,0,5,17
3926,0,5,17
3561,0,5,20
4104,0,5,23
4225,0,5,17
3932,0,5,20
4082,0,5,15
3364,0,5,20
4193,0,5,20
3642,0,5,20
3680,0,5,20
2663,0,5,17
3785,0,5,20
3914,0,5,13
4084,0,5,13
4111,0,5,17
4228,0,5,15
4248,0,5,17
3904,0,5,15
4227,0,5,30
4071,0,5,20
4236,0,5,17
4119,0,5,17
3898,0,5,15
4203,0,5,20
3729,0,5,17
4117,0,5,15
4215,0,5,17
3416,0,5,17
3951,0,5,27
3925,0,5,17
4068,0,5,17
4220,0,5,15
3913,0,5,25
3964,0,5,17
3811,0,5,17
3511,0,5,20
4113,0,5,15
3418,0,5,15
4022,0,5,20
4230,0,5,17
3954,0,5,20
3329,0,5,20
3988,0,5,13
4247,0,5,17
3435,0,5,8
4124,0,5,13
4243,0,5,20
4023,0,5,20
4181,0,5,20
3133,0,5,20
3967,0,5,20
4239,0,5,20
4237,0,5,15
3383,0,5,23
3751,0,5,20
3778,0,5,15
2800,0,5,20
3993,0,5,20
4097,0,5,15
3953,0,5,17
3809,0,5,23
3757,0,5,20
3643,0,5,15
3311,0,5,19
4123,0,5,20
3671,0,5,27
4231,0,5,20
4088,0,5,20
3727,0,5,20
4096,0,5,15
4063,0,5,20
4099,0,5,15
3746,0,5,17
3339,0,5,20
3933,0,5,25
4049,0,5,25
3965,0,5,29
3943,0,5,17
4069,0,5,15
2143,0,5,10
4204,0,5,20
4244,0,5,20
4263,0,5,20
3984,0,5,17
3929,0,5,30
4094,0,5,20
3770,0,5,17
3810,0,5,20
3409,0,5,23
4116,0,5,23
4242,0,5,20
1661,0,5,11
